Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TR,ARW-HMDRCab-14,R,P,14309001000398,House of Mandela,Deep River Cabernet Sauvignon/Merlot,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,2.12,25.45,,,N,,,,ARW-HMDRCab-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-HMDRCCh-14,R,P,14309001000399,House of Mandela,Deep River Chenin/Chardonnay,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,2.12,25.45,,,N,,,,ARW-HMDRCCh-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-HMRRCh-13,R,P,14302001000123,House of Mandela,Royal Reserve Chardonnay,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,6,,2013,B,B,10.00,59.99,,,N,,,,ARW-HMRRCh-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMRRCS-12,R,P,14302001000119,House of Mandela,Royal Reserve Cabernet Sauvignon,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,6,,2012,B,B,12.34,74.06,,,N,,,,ARW-HMRRCS-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMRRSh-13,R,P,14302001000125,House of Mandela,Royal Reserve Shiraz,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,6,,2013,B,B,12.34,74.06,,,N,,,,ARW-HMRRSh-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMRRSh6-12,R,P,14302001000125,House of Mandela,Royal Reserve Shiraz,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,6,,2012,B,B,12.34,74.06,,,N,,,,ARW-HMRRSh6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMThPin-14,R,P,14302001000060,House of Mandela,Thembu Collection Pinotage,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,3.13,37.51,,,N,,,,ARW-HMThPin-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMVUSCC-14,R,P,14309001000405,House of Mandela,Vusani Series Chenin Blanc,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,5.47,65.65,,,N,,,,ARW-HMVUSCC-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-HMVUSPIN-14,R,P,14309001000416,House of Mandela,Vusani Series Pinotage,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,5.47,65.65,,,N,,,,ARW-HMVUSPIN-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,CW,ARW-LAFENPRO12-750,R,P,14036001000270,La Fenice,Prosecco Sparking Wine,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,,B,B,4.39,52.62,,,N,,,,ARW-LAFENPRO12-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,ARW-LaFenRos12-750,R,P,14036001000285,La Fenice,Rose Vino Spumanti,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,,B,B,4.39,52.62,,,N,,,,ARW-LaFenRos12-750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ThemChBl-15,R,P,14302001000058,House of Mandela,Thembu Collection Chenin Blanc,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2015,B,B,3.13,37.51,,,N,,,,ARW-ThemChBl-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,ARW-ThemSB-14,R,P,14302001000065,House of Mandela,Thembu Collection Sauvignon Blanc,A,,"1104391, 1192561, 1205425, 2165244, 3128645, 2606361, 3135132, 1016028",750,ml,12,,2014,B,B,3.13,37.51,,,N,,,,ARW-ThemSB-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
