ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
14 GEYSER PEAK SAUVIGNON BLANC,All warehouses,,, 08341700020 7, 08341700020 7,256,                                    
14 GEYSER PK PINOT GRIGIO TRAY  750ML,All warehouses,,,0000000000000,0000000000000,260,                               
14 GIRARD SAUV BLANC 750ML,All warehouses,,, 00817670040 3, 00817670040 3,671,                                        
14 GUENOC CALIF CAB SAUV 750ML,All warehouses,,, 08163318522 7, 08163318522 7,200,                                    
14 GUENOC CALIF CHARDONNAY 750ML,All warehouses,,, 0 8163328842 3, 0 8163328842 3,149,                                
14 GUENOC CALIF MERLOT 750ML,All warehouses,,,08163330575 5,08163330575 5,156,                                        
14 GUENOC CALIF SAUV BLANC 750ML,All warehouses,,, 08163338832 1, 08163338832 1,160,                                  
14 GUENOC VICTORIAN CLARET 750ML,All warehouses,,, 08163318544 9, 08163318544 9,130,                                  
14 J LOHR FALCONS PERCH PIN NOIR 750ML,All warehouses,,,0 8912107852 5,0 8912107852 5,349,                            
14 J LOHR FLUMES SAUVIGNON BLANC,All warehouses,,,0 89121 27852 9,0 89121 27852 9,145,                                
14 J LOHR RIESLING 750ML,All warehouses,,, 08912101852 1, 08912101852 1,340,                                          
14 J LOHR RIVERSTONE CHARD 375ML,All warehouses,,, 08912106881 6, 08912106881 6,320,                                  
14 J LOHR RIVERSTONE CHARDONNAY 750ML,All warehouses,,, 0 8912106882 3, 0 8912106882 3,310,                           
14 J.LOHR VALDIGUIE 750ML,All warehouses,,, 08912110852 9, 08912110852 9,430,                                         
14 KARL HEINZ PIES MICH 750ML,All warehouses,,, 02010610931 5, 02010610931 5,2680,                                    
14 KARL HEINZ PIES MICH MAG 1.5L,All warehouses,,, 02010610912 4, 02010610912 4,2690,                                 
14 LURTON BONNET WHITE BORD 750ML,All warehouses,,,7 21298 11071 3,7 21298 11071 3,5005,                              
14 LURTON ROSE,All warehouses,,,7 21298 26051 7,7 21298 26051 7,5017,                                                 
14 MAGGIANOS R & B ROSSO,All warehouses,,,7 39958 06490 0,7 39958 06490 0,611,                                        
14 MEZZACORONA CABERNET SAUVIGNON,All warehouses,,, 08724188105 6, 08724188105 6,2870,                                
14 MEZZACORONA PINOT GRIGIO MAG,All warehouses,,, 0 8724188109 4,0 8724188109 4,2860,                                 
14 PEJU SAUVIGNON BLANC 750ML,All warehouses,,,6 87194 09141 2,6 87194 09141 2,1010,                                  
